conceptFrom,conceptTo,metaOntology,nodeType,Category 1,Category 2,Category 3,Country,First Name,Last Name,Gender,Suffix,Language,Acronym,Valence,Evaluation,Potency,Activity,Affect Mean,Military Role,Political Role,Religious Role ,,,
http://www.stopfake.org/en/fake-ukrainian-mp-proposes-mass-deportation-of-crimeans/,stopfake.org/en/fake-ukrainian-mp-proposes-mass-deportation-of-crimeans/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-national-football-team-to-be-disqualified-from-future-matches/,stopfake.org/en/fake-ukrainian-national-football-team-to-be-disqualified-from-future-matches/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-naval-ships-frozen/,stopfake.org/en/fake-ukrainian-naval-ships-frozen/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-officers-given-right-to-kill-their-own-soldiers/,stopfake.org/en/fake-ukrainian-officers-given-right-to-kill-their-own-soldiers/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-politicians-support-crimea-sabotage/,stopfake.org/en/fake-ukrainian-politicians-support-crimea-sabotage/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-president-hospitalized-with-alcohol-poisoning/,stopfake.org/en/fake-ukrainian-president-hospitalized-with-alcohol-poisoning/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-prime-minister-called-luhansk-and-donetsk-people-untermensch/,stopfake.org/en/fake-ukrainian-prime-minister-called-luhansk-and-donetsk-people-untermensch/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-prime-minister-hospitalized-after-nervous-breakdown/,stopfake.org/en/fake-ukrainian-prime-minister-hospitalized-after-nervous-breakdown/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainians-ask-for-electricity-from-crimea/,stopfake.org/en/fake-ukrainians-ask-for-electricity-from-crimea/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-scientists-believe-that-their-ancestors-dug-up-the-black-sea/,stopfake.org/en/fake-ukrainian-scientists-believe-that-their-ancestors-dug-up-the-black-sea/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-seat-covers-to-revive-ukrainian-economy/,stopfake.org/en/fake-ukrainian-seat-covers-to-revive-ukrainian-economy/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainians-in-poland-cleaners-and-dishwashers/,stopfake.org/en/fake-ukrainians-in-poland-cleaners-and-dishwashers/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-soldiers-fed-meat-from-1968/,stopfake.org/en/fake-ukrainian-soldiers-fed-meat-from-1968/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-soldiers-in-syria/,stopfake.org/en/fake-ukrainian-soldiers-in-syria/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-state-agencies-were-ordered-to-delete-russian-versions-of-their-official-websites/,stopfake.org/en/fake-ukrainian-state-agencies-were-ordered-to-delete-russian-versions-of-their-official-websites/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainians-to-abandon-orthodoxy/,stopfake.org/en/fake-ukrainians-to-abandon-orthodoxy/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainians-to-participate-in-syrian-war/,stopfake.org/en/fake-ukrainians-to-participate-in-syrian-war/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-tourists-flood-crimea/,stopfake.org/en/fake-ukrainian-tourists-flood-crimea/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-town-asks-putin-to-help-with-gas/,stopfake.org/en/fake-ukrainian-town-asks-putin-to-help-with-gas/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-train-lost-in-kazakhstan/,stopfake.org/en/fake-ukrainian-train-lost-in-kazakhstan/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-tv-forbidden-from-showing-handshake-between-putin-and-poroshenko/,stopfake.org/en/fake-ukrainian-tv-forbidden-from-showing-handshake-between-putin-and-poroshenko/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-journalist-nataliya-gumenyuk-suggests-depriving-ukrainians-of-voting-rights/,stopfake.org/en/fake-_Journalist-nataliya-gumenyuk-suggests-depriving-ukrainians-of-voting-rights/,organization,specific,newsmedia,anti-fake news,,,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-memorial-plaque-destroyed-in-kyiv/,stopfake.org/en/fake-_Memorial-plaque-destroyed-in-kyiv/,organization,specific,newsmedia,anti-fake news,,,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-time-employee-posted-a-cover-with-the-man-of-the-year-vladimir-putin/,stopfake.org/en/fake-_Time-employee-posted-a-cover-with-the-man-of-the-year-vladimir-putin/,organization,specific,newsmedia,anti-fake news,,,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-20-soldiers-die-from-leaked-mysterious-virus/,stopfake.org/en/fake-20-soldiers-die-from-leaked-mysterious-virus/,organization,specific,newsmedia,anti-fake news,,,,,,,,,,,,,,,,,,,
